Cluster,Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Calories_Burned (kcal),Gender_Male,Workout_Type_HIIT,Workout_Type_Mixed,Workout_Type_Strength,Workout_Type_Yoga
0,38.68,67.9,1.68,181.19,145.68,62.88,1.1,16.56,3.96,5.92,2.37,24.01,359.78,0.53,0.19,0.23,0.2,0.21
1,28.28,68.56,1.68,192.37,158.21,72.79,0.69,24.45,3.4,3.22,0.52,24.16,248.03,0.5,0.25,0.19,0.21,0.15
2,48.78,68.19,1.68,170.48,139.92,72.57,0.69,24.72,3.42,3.25,0.51,24.11,220.5,0.48,0.17,0.18,0.2,0.23
