Model,MAE,RMSE,R2
XGBoost,3.8108390372680967,5.854792495309969,0.9989081929945622
Random Forest,4.035207910428164,8.085562809235443,0.9979176996515272
SVR,2.915576671482429,8.308521913134697,0.9978012776002558
Decision Tree,16.15087257517351,22.721683911443307,0.983556135499259
KNN Regressor,27.358965918873754,39.36946593176801,0.9506324120683811
Linear Regression,34.59803982824316,52.70917429480503,0.9115097774297554
Ridge Regression,34.60157264095589,52.73595996305159,0.9114198169233885
Lasso Regression,34.625606502545274,52.77858081314681,0.9112765792419883
